,name,figi,ticker,class_code,isin,currency,lot,cap
241,Якутскэнерго - привилегированные акции,BBG000PQYM17,YKENP,TQBR,RU0007796827,rub,10000,6.00
243,Сбер Банк - привилегированные акции,BBG0047315Y7,SBERP,TQBR,RU0009029557,rub,10,6047.55
246,Лента,BBG0063FKTD9,LENT,TQBR,RU000A102S15,rub,1,76.55
247,Фармсинтез,BBG0019K04R5,LIFE,TQBR,RU000A0JR514,rub,100,2.29
248,Саратовэнерго - привилегированные акции,BBG000CV8026,SAREP,TQBR,RU0009100762,rub,10000,3.16
250,Красноярскэнергосбыт,BBG000VPC602,KRSB,TQBR,RU000A0HMLY1,rub,100,12.70
252,ТГК-1,BBG000QFH687,TGKA,TQBR,RU000A0JNUD0,rub,100000,34.73
253,ТГК-14,BBG000RG4ZQ4,TGKN,TQBR,RU000A0H1ES3,rub,1000000,16.49
255,РКК Энергия им.С.П.Королева,BBG000LWNRP3,RKKE,TQBR,RU0009095939,rub,1,43.09
256,Ленэнерго,BBG000NLC9Z6,LSNG,TQBR,RU0009034490,rub,100,184.74
257,Ренессанс Страхование,BBG00QKJSX05,RENI,TQBR,RU000A0ZZM04,rub,10,50.50
258,Россети Центр,BBG000VH7TZ8,MRKC,TQBR,RU000A0JPPL8,rub,1000,24.34
259,Курганская генерирующая компания,BBG001BBFTQ2,KGKC,TQBR,RU000A0JP120,rub,10,7.54
260,Светофор Групп,BBG00M8JQW11,SVET,TQBR,RU000A100592,rub,1,0.63
261,Славнефть ЯНОС - привилегированные акции,BBG000CVM887,JNOSP,TQBR,RU0009101927,rub,100,31.46
262,КуйбышевАзот,BBG002B9MYC1,KAZT,TQBR,RU000A0B9BV2,rub,10,152.49
263,КоршГОК ао,BBG000R41LN8,KOGK,TQBR,RU0002155359,rub,1,13.56
264,ТНС энерго,BBG009CWKVN0,TNSE,TQBR,RU000A0JUCQ5,rub,1,44.56
265,Пермэнергосбыт,BBG000MZL0Y6,PMSB,TQBR,RU000A0ET123,rub,10,9.12
266,Арсагера,BBG000VBMPW5,ARSA,TQBR,RU000A0JP0Q7,rub,100,1.49
267,Варьеганнефтегаз - привилегированные акции,BBG002B9WQ73,VJGZP,TQBR,RU0007964789,rub,1,45.44
268,ЯТЭК,BBG002B298N6,YAKG,TQBR,RU0007796819,rub,10,80.00
271,Вторая генерирующая компания оптового рынка электроэнергии,BBG000RK52V1,OGKB,TQBR,RU000A0JNG55,rub,1000,62.30
272,Калужская сбытовая компания,BBG000DBD6F6,KLSB,TQBR,RU000A0DKZK3,rub,100,2.61
274,ПИК,BBG004S68BH6,PIKK,TQBR,RU000A0JP7J7,rub,1,443.79
275,НПО Наука,BBG002BLR408,NAUK,TQBR,RU000A0JRPX9,rub,10,6.37
276,Магаданэнерго,BBG0018X73Z4,MAGE,TQBR,RU0006758919,rub,100,3.19
277,ЧМК,BBG000RP8V70,CHMK,TQBR,RU0007665170,rub,1,30.66
278,Гемабанк,BBG00PT8QHK7,GEMA,TQBR,RU000A100GC7,rub,1,1.52
280,ДВМП,BBG000QF1Q17,FESH,TQBR,RU0008992318,rub,100,237.49
281,РуссНефть,BBG00F9XX7H4,RNFT,TQBR,RU000A0JSE60,rub,1,39.18
